編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
13,舉一反三,ㄐㄩˇ　ㄧ　ㄈㄢˇ　ㄙㄢ,形容人於學習中善於觸類旁通。褒義。,聞一知十、觸類旁通,,一隅三反、舉隅反三、觀隅三反,主條成語
14,江郎才盡,ㄐㄧㄤ　ㄌㄤˊ　ㄘㄞˊ　ㄐㄧㄣˋ,比喻文人的才思枯竭，無法再創佳句。,才思枯竭、枯腸渴肺,七步之才、七步成詩、下筆成章、文不加點、妙筆生花、思如泉湧、倚馬可待、萬斛泉源、錦心繡口,才盡江淹、江淹夢筆、江淹才盡、江郎才掩,主條成語
15,青出於藍,ㄑㄧㄥ　ㄔㄨ　ㄩˊ　ㄌㄢˊ,比喻弟子勝過老師，或後輩優於前輩。褒義。,冰寒於水、青藍冰水、後來居上、為青為冰,,青過於藍,主條成語
16,口若懸河,ㄎㄡˇ　ㄖㄨㄛˋ　ㄒㄩㄢˊ　ㄏㄜˊ,比喻能言善辯。,能言善道,拙口鈍辭、笨口拙舌、張口結舌、期期艾艾、結結巴巴,口似懸河、口如懸河、懸河寫水、懸河注水、懸河瀉水、瀉水懸河、言若懸河、言類懸河、辨口如懸河、辯同河瀉、辯如懸河,主條成語
17,驚弓之鳥,ㄐㄧㄥ　ㄍㄨㄥ　ㄓ　ㄋㄧㄠˇ,比喻曾受打擊或驚嚇，心有餘悸，稍有動靜就害怕的人。,心有餘悸、談虎色變,,傷弓之鳥、傷矢之禽、驚弦之鳥,主條成語
18,含沙射影,ㄏㄢˊ　ㄕㄚ　ㄕㄜˋ　ㄧㄥˇ,比喻間接地詆毀、陷害別人。貶義。,指桑罵槐、暗箭傷人,光明正大、光明磊落,射影含沙,主條成語
19,一敗塗地,ㄧ　ㄅㄞˋ　ㄊㄨˊ　ㄉㄧˋ　（變）　ㄧˊ　ㄅㄞˋ　ㄊㄨˊ　ㄉㄧˋ,形容做事失敗，到了無法收拾的地步。,一蹶不振,百戰百勝、所向披靡、所向無敵、勢如破竹,壹敗塗地、大敗塗地,主條成語
20,草木皆兵,ㄘㄠˇ　ㄇㄨˋ　ㄐㄧㄝ　ㄅㄧㄥ,形容疑神疑鬼、驚恐不安。,杯弓蛇影、風聲鶴唳、疑神疑鬼,處變不驚,,主條成語
21,投筆從戎,ㄊㄡˊ　ㄅㄧˇ　ㄘㄨㄥˊ　ㄖㄨㄥˊ,比喻棄文從軍，以衛國立功。褒義。,棄文就武,,棄筆從戎,主條成語
22,東窗事發,ㄉㄨㄥ　ㄔㄨㄤ　ㄕˋ　ㄈㄚ,指陰謀或非法勾當敗漏。,露出馬腳,神不知鬼不覺、瞞天過海,東窗事犯,主條成語
23,畫蛇添足,ㄏㄨㄚˋ　ㄕㄜˊ　ㄊㄧㄢ　ㄗㄨˊ,比喻多此一舉，反將事情弄糟。貶義。,多此一舉、弄巧成拙,恰如其分、恰到好處,妄畫蛇足、為蛇添足、為蛇畫足、畫蛇著足,主條成語
24,勢如破竹,ㄕˋ　ㄖㄨˊ　ㄆㄛˋ　ㄓㄨˊ,比喻戰事進展順利。＆比喻事情進展順利。,長驅直入、勢不可當、勢不可當,望風披靡、節節失利、節節敗退,勢如劈竹、破竹之勢,主條成語
25,滄海桑田,ㄘㄤ　ㄏㄞˇ　ㄙㄤ　ㄊㄧㄢˊ,大海變為陸地，陸地淪為大海。比喻環境變化很大。＆比喻世事無常，變化很快。,白雲蒼狗、東海揚塵、高岸為谷、深谷為陵,一成不變、依然如故,東海桑田、桑田滄海、滄桑之變,主條成語
26,望梅止渴,ㄨㄤˋ　ㄇㄟˊ　ㄓˇ　ㄎㄜˇ,比喻以空想來安慰自己。,畫餅充飢,,望梅消渴、梅林止渴、止渴之梅、止渴思梅、止渴望梅、說梅止渴,主條成語
27,司空見慣,ㄙ　ㄎㄨㄥ　ㄐㄧㄢˋ　ㄍㄨㄢˋ,比喻經常看到，不足為奇。,不足為奇、習以為常、屢見不鮮,少見多怪、見所未見,司空慣見、司空眼慣、司空經慣、見慣司空,主條成語
28,南轅北轍,ㄋㄢˊ　ㄩㄢˊ　ㄅㄟˇ　ㄔㄜˋ,比喻行動和想要達到的目的相反。 ＆比喻二者彼此背道而馳。＆比喻遙隔兩地。,背道而馳,,北轅南轍、北轅適楚、北轅適越、北轍南轅,主條成語
29,夜郎自大,ㄧㄝˋ　ㄌㄤˊ　ㄗˋ　ㄉㄚˋ,比喻人見識短淺，狂妄自大。貶義。,妄自尊大、自高自大、崖岸自高,妄自菲薄、自輕自賤、虛懷若谷,,主條成語
30,信口雌黃,ㄒㄧㄣˋ　ㄎㄡˇ　ㄘ　ㄏㄨㄤˊ,比喻不顧事實真相，隨口亂說或妄加批評。,口不擇言、信口開河,言之有物、言必有據、信而有徵,口中雌黃、雌黃信口,主條成語
31,狼狽為奸,ㄌㄤˊ　ㄅㄟˋ　ㄨㄟˊ　ㄐㄧㄢ,比喻互相勾結做壞事。貶義。,同流合汙、朋比為奸,,狽因狼突,主條成語
32,狐假虎威,ㄏㄨˊ　ㄐㄧㄚˇ　ㄏㄨˇ　ㄨㄟ,比喻藉著有權者的威勢欺壓他人、作威作福。,仗勢欺人、狐假鴟張、鼠憑社貴、驢蒙虎皮,,假虎張威、狐藉虎威、虎威狐假,主條成語
33,作法自斃,ㄗㄨㄛˋ　ㄈㄚˇ　ㄗˋ　ㄅㄧˋ,比喻自作自受。,自作自受、作繭自縛、玩火自焚、咎由自取,,作法自弊、為法自弊、為法自斃,主條成語
34,為虎作倀,ㄨㄟˋ　ㄏㄨˇ　ㄗㄨㄛˋ　ㄔㄤ,比喻幫惡人做壞事。貶義。,助紂為虐、助桀為虐、為虎傅翼,為民除害,,主條成語
35,如火如荼,ㄖㄨˊ　ㄏㄨㄛˇ　ㄖㄨˊ　ㄊㄨˊ,形容事物的興盛或氣氛的熱烈。,,,如荼如火,主條成語
36,老馬識途,ㄌㄠˇ　ㄇㄚˇ　ㄕˋ　ㄊㄨˊ,比喻有經驗的人對情況比較熟悉，容易把工作做好。褒義。,熟門熟路,暗中摸索,老馬知道、老馬識塗、識塗老馬、識途老馬,主條成語
37,杞人憂天,ㄑㄧˇ　ㄖㄣˊ　ㄧㄡ　ㄊㄧㄢ,比喻缺乏根據且不必要的憂慮。,庸人自擾、鰓鰓過慮,不憂不懼、無憂無慮,杞人之憂、杞國之憂、杞國憂天,主條成語
38,一暴十寒,ㄧ　ㄆㄨˋ　ㄕˊ　ㄏㄢˊ　（變）　ㄧˊ　ㄆㄨˋ　ㄕˊ　ㄏㄢˊ,比喻人做事缺乏恆心，時常中斷。貶義。,,夙夜匪懈、孜孜矻矻、持之以恆、鍥而不舍,一曝十寒、十寒一暴,主條成語
39,守株待兔,ㄕㄡˇ　ㄓㄨ　ㄉㄞˋ　ㄊㄨˋ,比喻拘泥守成，不知變通。貶義。＆比喻妄想不勞而獲。貶義。＆等著目標自己送上門來。,刻舟求劍、食古不化、墨守成規、膠柱鼓瑟、不勞而獲、坐享其成,見風使舵、見機行事、通權達變、隨機應變,守株伺兔、待兔守株,主條成語
40,不學無術,ㄅㄨˋ　ㄒㄩㄝˊ　ㄨˊ　ㄕㄨˋ,人未經學習而沒有學問才幹。貶義。,一無所長、才疏學淺、胸無點墨、庸庸碌碌,多才多藝、真才實學、博學多才、滿腹經綸、學富五車,不學亡術、不學無文、不學無識,主條成語
41,四面楚歌,ㄙˋ　ㄇㄧㄢˋ　ㄔㄨˇ　ㄍㄜ,比喻四面受敵，孤立無援。,八方受敵、四面受敵、腹背受敵,,楚歌四面,主條成語
42,奇貨可居,ㄑㄧˊ　ㄏㄨㄛˋ　ㄎㄜˇ　ㄐㄩ,比喻利用某種專長或有價值的東西以謀利。,囤積居奇、操奇計贏,,居為奇貨,主條成語
43,刻舟求劍,ㄎㄜˋ　ㄓㄡ　ㄑㄧㄡˊ　ㄐㄧㄢˋ,比喻拘泥固執，不知變通。貶義。,守株待兔、食古不化、膠柱鼓瑟,因時制宜、見機行事、見風使舵、通權達變、隨機應變,刻船求劍、契船求劍、求劍刻舟,主條成語
44,走馬看花,ㄗㄡˇ　ㄇㄚˇ　ㄎㄢˋ　ㄏㄨㄚ,比喻粗略、匆促地觀看，不能仔細深入。,浮光掠影、蜻蜓點水,觀察入微,看花走馬、走馬觀花,主條成語
45,後來居上,ㄏㄡˋ　ㄌㄞˊ　ㄐㄩ　ㄕㄤˋ,形容後來的人或事物超越原領先者。褒義。,青出於藍、後發先至,,積薪居上,主條成語
46,負荊請罪,ㄈㄨˋ　ㄐㄧㄥ　ㄑㄧㄥˇ　ㄗㄨㄟˋ,背著荊條，前往對方居所自請責罰。 ＆比喻主動向對方承認錯誤，請求責罰和原諒。,肉袒牽羊,,肉袒負荊,主條成語
47,對牛彈琴,ㄉㄨㄟˋ　ㄋㄧㄡˊ　ㄊㄢˊ　ㄑㄧㄣˊ,比喻講話、做事不看對象。＆比喻對不懂道理的人講道理。,語不擇人,,對牛鼓簧、對驢彈琴,主條成語
48,一鼓作氣,ㄧ　ㄍㄨˇ　ㄗㄨㄛˋ　ㄑㄧˋ　（變）　ㄧˋ　ㄍㄨˇ　ㄗㄨㄛˋ　ㄑㄧˋ,比喻做事時要趁著初起時的勇氣去做才容易成功。,打鐵趁熱,再衰三竭,,主條成語
49,杯弓蛇影,ㄅㄟ　ㄍㄨㄥ　ㄕㄜˊ　ㄧㄥˇ,比喻為不存在的事情枉自驚疑恐懼。,風聲鶴唳、草木皆兵、疑神疑鬼,,弓影杯蛇、弓影浮杯、杯蛇弓影、蛇影杯弓,主條成語
50,紙上談兵,ㄓˇ　ㄕㄤˋ　ㄊㄢˊ　ㄅㄧㄥ,比喻不切實際的議論。貶義。,光說不練、空言無補,,紙上兵、紙上譚兵,主條成語
51,破鏡重圓,ㄆㄛˋ　ㄐㄧㄥˋ　ㄔㄨㄥˊ　ㄩㄢˊ,比喻夫妻離散或情感決裂後重新團圓合好。,言歸於好,分釵破鏡、分釵斷帶、勞燕分飛、覆水難收、鸞飄鳳泊,破鏡重合,主條成語
52,東山再起,ㄉㄨㄥ　ㄕㄢ　ㄗㄞˋ　ㄑㄧˇ,比喻官員退隱後，再度出任官職。＆比喻失敗後重新崛起。,死灰復燃、捲土重來、重整旗鼓,息影園林、一蹶不振,東山之臥、起東山,主條成語
53,樂不思蜀,ㄌㄜˋ　ㄅㄨˋ　ㄙ　ㄕㄨˇ,比喻人因留戀異地而不想返回故鄉。＆形容快樂得忘了歸去。,樂而忘返,,,主條成語
54,濫竽充數,ㄌㄢˋ　ㄩˊ　ㄔㄨㄥ　ㄕㄨˋ,比喻沒有真才實學的人，混在行家中充數。貶義。＆比喻拿不好的東西充場面。貶義。＆作為自謙之詞，比喻自己才德不足。,備位充數、魚目混珠,名副其實、名副其實、貨真價實,濫廁其間,主條成語
55,打草驚蛇,ㄉㄚˇ　ㄘㄠˇ　ㄐㄧㄥ　ㄕㄜˊ,擊打草叢以嚇走蛇。＆比喻行事不密，致使對方有所警覺，而預先防備。,,不動聲色,打草蛇驚、驚蛇打草,主條成語
56,揠苗助長,ㄧㄚˋ　ㄇㄧㄠˊ　ㄓㄨˋ　ㄓㄤˇ,比喻為用不當的手段以求速成，結果不但無益，反而有害。貶義。,狃於急效、欲速不達,按部就班、盈科後進、循序漸進,,主條成語
57,功虧一簣,ㄍㄨㄥ　ㄎㄨㄟ　ㄧ　ㄎㄨㄟˋ　（變）　ㄍㄨㄥ　ㄎㄨㄟ　ㄧˊ　ㄎㄨㄟˋ,比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。,半途而廢、功敗垂成、前功盡棄,堅持不懈、善始善終,一簣而虧、九仞一簣、未成一簣、為山止簣、虧於一簣,主條成語
58,入木三分,ㄖㄨˋ　ㄇㄨˋ　ㄙㄢ　ㄈㄣ,形容筆力遒勁。＆比喻評論深刻中肯或描寫生動逼真。褒義。,力透紙背、鞭辟入裡,不著邊際,入石三分,主條成語
59,一鳴驚人,ㄧ　ㄇㄧㄥˊ　ㄐㄧㄥ　ㄖㄣˊ　（變）　ㄧˋ　ㄇㄧㄥˊ　ㄐㄧㄥ　ㄖㄣˊ,比喻平時默默無聞，而後卻突然有驚人的表現。,,,驚人一鳴,主條成語
60,螳臂當車,ㄊㄤˊ　ㄅㄧˋ　ㄉㄤ　ㄔㄜ,比喻不自量力。,以卵擊石、自不量力、夸父逐日、蚍蜉撼樹,泰山壓卵、量力而行,當車螳臂、螗螂之臂、螳臂拒輪、螳螂當車,主條成語
61,死灰復燃,ㄙˇ　ㄏㄨㄟ　ㄈㄨˋ　ㄖㄢˊ,比喻失勢者重新得勢。＆比喻已經平息的事物，又重新活動起來。,東山再起、捲土重來,一蹶不振,寒灰復燃、寒灰更然、寒灰重燃、復然灰、死灰復然、死灰復燎、燃死灰,主條成語
62,咄咄逼人,ㄉㄨㄛˋ　ㄉㄨㄛˋ　ㄅㄧ　ㄖㄣˊ,形容言語凌厲，氣勢迫人。 ＆形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。,氣勢洶洶、盛氣凌人,平易近人、屈己從人,逼人咄咄,主條成語
63,出奇制勝,ㄔㄨ　ㄑㄧˊ　ㄓˋ　ㄕㄥˋ,發奇兵或用奇計制敵而獲勝。褒義。＆比喻用奇特、創新的方法取得好效果。褒義。,,,出奇取勝、出奇致勝,主條成語
64,出類拔萃,ㄔㄨ　ㄌㄟˋ　ㄅㄚˊ　ㄘㄨㄟˋ,形容才能特出，超越眾人。褒義。,出人頭地、佼佼不群、卓爾不群、推群獨步、超群絕倫、頭角崢嶸、鶴立雞群,不稂不莠、碌碌無能,出群拔萃、出類拔群、出類超群、拔群出萃、拔群出類、拔萃出群、拔萃出類、拔類超群,主條成語
65,一竅不通,ㄧ　ㄑㄧㄠˋ　ㄅㄨˋ　ㄊㄨㄥ　（變）　ㄧˊ　ㄑㄧㄠˋ　ㄅㄨˋ　ㄊㄨㄥ,比喻人昏昧不明事理。貶義。＆比喻人對某事完全不懂。貶義。,蒙昧無知、一無所知,無所不知,一隙不通、不通一竅,主條成語
66,食古不化,ㄕˊ　ㄍㄨˇ　ㄅㄨˋ　ㄏㄨㄚˋ　（變）　ㄕˊ　ㄍㄨˇ　ㄅㄨˊ　ㄏㄨㄚˋ,比喻一味守舊而不知變通。貶義。,刻舟求劍、膠柱鼓瑟,日新又新、推陳出新,嗜古不化、食生不化,主條成語
67,一日千里,ㄧ　ㄖˋ　ㄑㄧㄢ　ㄌㄧˇ　（變）　ㄧˊ　ㄖˋ　ㄑㄧㄢ　ㄌㄧˇ,形容速度很快。＆比喻進步極快或進展迅速。褒義。,日新月異、日新月盛、突飛猛進,一落千丈,,主條成語
68,吹毛求疵,ㄔㄨㄟ　ㄇㄠˊ　ㄑㄧㄡˊ　ㄘ,比喻刻意挑剔過失或缺點。貶義。,求全責備、洗垢求瘢,,吹毛取瑕、吹毛求瑕、吹毛索疵、披毛求瑕、披毛求疵,主條成語
69,一諾千金,ㄧ　ㄋㄨㄛˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）　ㄧˊ　ㄋㄨㄛˋ　ㄑㄧㄢ　ㄐㄧㄣ,形容信守承諾，說話算數。褒義。,一言為定,出爾反爾、言而無信、食言而肥、輕諾寡信,千金一諾、千金諾、季布一諾、百金一諾,主條成語
70,騎虎難下,ㄑㄧˊ　ㄏㄨˇ　ㄋㄢˊ　ㄒㄧㄚˋ,比喻事情迫於情勢，無法中止，只好繼續做下去。,進退兩難、進退維谷,來去自如,勢成騎虎,主條成語
71,投鼠忌器,ㄊㄡˊ　ㄕㄨˇ　ㄐㄧˋ　ㄑㄧˋ,比喻想要除害，但因有所顧忌而不敢下手。,,肆無忌憚,投鼠之忌、擲鼠忌器,主條成語
72,孤注一擲,ㄍㄨ　ㄓㄨˋ　ㄧ　ㄓˊ　（變）　ㄍㄨ　ㄓㄨˋ　ㄧˋ　ㄓˊ,比喻危急時，投入全部力量，作最後的冒險。,背水一戰、背城借一、破釜沉舟,,,主條成語
73,坐井觀天,ㄗㄨㄛˋ　ㄐㄧㄥˇ　ㄍㄨㄢ　ㄊㄧㄢ,比喻人眼界狹小，見識不廣。,井蛙之見、以管窺天、以蠡測海、管中窺豹、管窺蠡測、牖中窺日、甕天之見,見多識廣、高瞻遠矚,坐井窺、坐井觀,主條成語
74,滄海一粟,ㄘㄤ　ㄏㄞˇ　ㄧ　ㄙㄨˋ　（變）　ㄘㄤ　ㄏㄞˇ　ㄧˊ　ㄙㄨˋ,比喻渺小而微不足道。,九牛一毛、太倉一粟、太倉稊米、微不足道、微乎其微,盈千累萬,大海一粟,主條成語
75,門可羅雀,ㄇㄣˊ　ㄎㄜˇ　ㄌㄨㄛˊ　ㄑㄩㄝˋ,形容做官的人失勢後賓客稀少的景況。＆泛指一般來客稀少、門庭冷清的景況。,,臣門如市、戶限為穿、車馬盈門、往來如織、門庭若市、賓客如雲、賓客盈門,羅雀門庭、門可張羅,主條成語
76,攀龍附鳳,ㄆㄢ　ㄌㄨㄥˊ　ㄈㄨˋ　ㄈㄥˋ,比喻巴結權貴，以求晉升。貶義。,依權附勢、附驥攀鴻、夤緣攀附、趨炎附勢、攀高接貴、攀龍附驥,,攀鱗附翼、攀龍託鳳、附翼攀鱗、附鳳攀龍,主條成語
77,痛心疾首,ㄊㄨㄥˋ　ㄒㄧㄣ　ㄐㄧˊ　ㄕㄡˇ,指痛恨到極點。,恨之入骨、咬牙切齒、深惡痛絕,,疾首痛心,主條成語
78,易如反掌,ㄧˋ　ㄖㄨˊ　ㄈㄢˇ　ㄓㄤˇ,比喻事情非常容易做到。,反掌折枝、易如拾芥、唾手可得、探囊取物、輕而易舉,挾山超海、難若登天,反掌之易、易如翻掌、易於反手、易於反掌,主條成語
79,膾炙人口,ㄎㄨㄞˋ　ㄓˋ　ㄖㄣˊ　ㄎㄡˇ,美味的食物人人愛吃。＆比喻美妙的詩文為人所讚賞、傳誦。褒義。＆比喻事物精妙而備受稱誦。褒義。,口碑載道,乏善可陳,流膾人口、膾炙一時、膾炙天下、膾炙海內,主條成語
80,趾高氣揚,ㄓˇ　ㄍㄠ　ㄑㄧˋ　ㄧㄤˊ,形容人驕傲自滿、得意忘形。多具貶義。,昂首闊步、眉飛色舞、高視闊步、得意忘形、躊躇滿志,奴顏婢膝、低聲下氣、低首下心、垂頭喪氣、垂頭拱手,足高氣揚、趾昂氣粗,主條成語
81,唾面自乾,ㄊㄨㄛˋ　ㄇㄧㄢˋ　ㄗˋ　ㄍㄢ,比喻逆來順受，寬容忍讓。,逆來順受,以牙還牙、以眼還眼、睚眥必報,面能乾唾,主條成語
82,推心置腹,ㄊㄨㄟ　ㄒㄧㄣ　ㄓˋ　ㄈㄨˋ,比喻以至誠待人。,肝膽相照、披肝瀝膽、坦誠相見,明爭暗鬥、鉤心鬥角、爾虞我詐,推心致腹、推誠置腹、置腹推心,主條成語
83,病入膏肓,ㄅㄧㄥˋ　ㄖㄨˋ　ㄍㄠ　ㄏㄨㄤ,指人病重，無藥可救。 ＆比喻人、事已到無可挽回的程度。,不可救藥、群醫束手,不藥而癒,疾入膏肓、病在膏肓、病在膏髓、病染膏肓,主條成語
84,蕭規曹隨,ㄒㄧㄠ　ㄍㄨㄟ　ㄘㄠˊ　ㄙㄨㄟˊ,比喻後人依循前人所訂的規章辦事。,因循守舊、率由舊章、陳陳相因,不主故常、改弦更張、改弦易轍、鼎新革故、棄舊圖新,,主條成語
85,庸人自擾,ㄩㄥ　ㄖㄣˊ　ㄗˋ　ㄖㄠˇ,比喻庸碌的人無端自尋煩惱。,杞人憂天,智者不惑,,主條成語
86,緣木求魚,ㄩㄢˊ　ㄇㄨˋ　ㄑㄧㄡˊ　ㄩˊ,比喻用錯方法，徒勞無功。,水中撈月、竹籃打水、炊沙作飯、煎水作冰,,求魚緣木、緣木希魚,主條成語
87,雙管齊下,ㄕㄨㄤ　ㄍㄨㄢˇ　ㄑㄧˊ　ㄒㄧㄚˋ,比喻同時採用兩種辦法來做事。,,,,主條成語
88,一言九鼎,ㄧ　ㄧㄢˊ　ㄐㄧㄡˇ　ㄉㄧㄥˇ　（變）　ㄧˋ　ㄧㄢˊ　ㄐㄧㄡˇ　ㄉㄧㄥˇ,形容說話很有分量。＆形容說話很有信用。,,人微言輕,一語九鼎、九鼎一言、片言九鼎,主條成語
89,自相矛盾,ㄗˋ　ㄒㄧㄤ　ㄇㄠˊ　ㄉㄨㄣˋ,比喻言語或行事前後無法呼應，互相牴觸。,,,,主條成語
90,扶搖直上,ㄈㄨˊ　ㄧㄠˊ　ㄓˊ　ㄕㄤˋ,比喻快速上升。＆比喻仕途得志。,平步青雲、青雲直上,一落千丈、江河日下、每況愈下,,主條成語
91,舉案齊眉,ㄐㄩˇ　ㄢˋ　ㄑㄧˊ　ㄇㄟˊ,比喻夫妻相敬如賓。褒義。,相敬如賓、魚水和諧、琴瑟和鳴,琴瑟不和,案舉齊眉、鴻案相莊、齊眉舉案,主條成語
92,閉門造車,ㄅㄧˋ　ㄇㄣˊ　ㄗㄠˋ　ㄐㄩ,比喻凡事只憑主觀辦事，不問是否切合實際。貶義。,,,造車合轍、閉戶斲輪、閉造出合,主條成語
93,歧路亡羊,ㄑㄧˊ　ㄌㄨˋ　ㄨㄤˊ　ㄧㄤˊ,比喻事理繁雜多變，求道者誤入迷途，而終無所成。,,,多岐亡羊、多歧亡羊,主條成語
94,風聲鶴唳,ㄈㄥ　ㄕㄥ　ㄏㄜˋ　ㄌㄧˋ,形容驚慌疑懼，自相侵擾。,杯弓蛇影、草木皆兵、疑神疑鬼,神色自若、氣定神閒,鶴唳風聲,主條成語
95,老當益壯,ㄌㄠˇ　ㄉㄤ　ㄧˋ　ㄓㄨㄤˋ,年紀雖大但身體仍強健，且志氣豪壯。褒義。,人老心不老、老驥伏櫪、志在千里,未老先衰,老而彌壯、老而益壯、衰當益壯,主條成語
96,車水馬龍,ㄔㄜ　ㄕㄨㄟˇ　ㄇㄚˇ　ㄌㄨㄥˊ,形容繁華熱鬧的景象。,車馬盈門、車馬輻輳、車馬駢溢、車馬駢闐、門庭若市、肩摩轂擊、熙來攘往、熙熙攘攘,門可羅雀,馬龍車水,主條成語
97,未雨綢繆,ㄨㄟˋ　ㄩˇ　ㄔㄡˊ　ㄇㄡˊ,比喻事先預備以防患未然。,曲突徙薪、有備無患、防患未然,江心補漏、臨陣磨槍、臨渴掘井,徹桑未雨、綢繆未雨,主條成語
98,先發制人,ㄒㄧㄢ　ㄈㄚ　ㄓˋ　ㄖㄣˊ,凡事先下手取得先機，才能制伏對方。,,,,主條成語
99,洛陽紙貴,ㄌㄨㄛˋ　ㄧㄤˊ　ㄓˇ　ㄍㄨㄟˋ,形容作品風行一時，流傳甚廣。褒義。,,乏人問津,京師紙貴、紙貴洛城、紙貴洛陽、衡陽紙貴、都中紙貴,主條成語
100,孤陋寡聞,ㄍㄨ　ㄌㄡˋ　ㄍㄨㄚˇ　ㄨㄣˊ,形容學識淺薄，見聞不廣。,一孔之見、井蛙之見、坐井觀天、淺見寡聞、管中窺豹,見多識廣、博古通今、博物洽聞,寡聞少見、寡聞陋見、寡見鮮聞,主條成語
101,不共戴天,ㄅㄨˋ　ㄍㄨㄥˋ　ㄉㄞˋ　ㄊㄧㄢ　（變）　ㄅㄨˊ　ㄍㄨㄥˋ　ㄉㄞˋ　ㄊㄧㄢ,比喻仇恨極深。,水火不容、冰炭不容、你死我活、勢不兩立、勢如水火、勢如冰炭、誓不兩立,不念舊惡、言歸於好,不共之仇、不共天地、不同天地、不同日月、不忍戴天、羞共戴天、義不同戴,主條成語
102,滿腹經綸,ㄇㄢˇ　ㄈㄨˋ　ㄐㄧㄥ　ㄌㄨㄣˊ,形容才識豐富，具有處理大事的才能。,大才槃槃、足智多謀、博學多才、滿腹經籍、學富五車,才疏學淺、不學無術、不識一丁、胸無點墨,經綸滿腹,主條成語
103,飲鴆止渴,ㄧㄣˇ　ㄓㄣˋ　ㄓˇ　ㄎㄜˇ,比喻只求解決眼前困難，而不顧將來更大的禍患。貶義。,挖肉補瘡,,引鴆止渴、止渴飲鴆、酣鴆止渴、飲鴆救渴,主條成語
104,退避三舍,ㄊㄨㄟˋ　ㄅㄧˋ　ㄙㄢ　ㄕㄜˋ,比喻主動退讓，不與人相爭。,,周旋到底、當仁不讓,辟君三舍、退徙三舍、避君三舍,主條成語
